Gene	GDI_Phred
GEMIN8	3.05225
GJB1	0.49927
GK	0.15391
POGK	1.36292
NAGK	1.69535
AGK	2.20843
PIGK	5.65985
ADPGK	9.14930
FIGLA	0.41368
DAGLA	3.57787
GLA	3.62570
GLOD5	3.22235
GLRA2	0.46281
GLRA4	6.77588
GLUD2	2.93763
GNL3L	1.55747
GPC3	1.59866
GPC4	16.04688
GPKOW	1.06605
GPM6B	0.44088
GPR101	11.37510
GPR119	0.64441
GPR143	1.36779
GPR173	0.43351
GPR174	0.54712
GPR34	1.20330
GPR50	6.34364
GPR82	0.80337
GPRASP1	5.51120
GPRASP2	1.91368
GRIA3	0.64055
GRIPAP1	1.37418
GRPR	1.23623
GSPT2	1.15900
GTPBP6	5.28421
GUCY2F	9.19149
GYG2	4.48403
H2BFM	9.12019
H2BFWT	0.74631
HAUS7	1.59321
HCCS	0.59855
HCFC1	1.74352
HDAC6	3.26923
HDAC8	0.36173
HDHD1	8.15218
HDX	5.24837
HEPH	2.86444
HMGB3	0.10223
HMGN5	2.46080
HNRNPH2	0.18578
HPRT1	0.13211
HS6ST2	2.28442
HSD17B10	0.19065
HTATSF1	0.78391
HTR2C	5.42129
HUWE1	4.41721
IDH3G	3.05494
IDS	2.71627
IGBP1	2.27803
IGSF1	3.43107
IKBKG	0.09337
IL13RA1	0.47344
IL13RA2	0.41808
IL1RAPL1	0.54108
IL1RAPL2	0.35811
IL2RG	0.26766
IL3RA	0.84256
IL9R	5.90794
SERPINE1	4.51469
SERPINE2	1.15146
IQSEC2	1.83098
IRAK1	2.62306
IRS4	5.17757
ITGB1BP2	1.38547
ITIH6	5.48050
ITM2A	1.24332
JADE3	0.85146
KCND1	2.13521
KDM5C	0.59116
KDM6A	5.70917
KIAA1210	6.61405
KIAA2022	1.66592
KIF4A	6.39853
KLF8	1.41736
KLHL13	0.84741
KLHL15	0.25328
KLHL34	1.54794
KLHL4	0.66973
KRBOX4	0.42983
L1CAM	2.08898
LAGE3	1.62247
LAMP2	0.94900
LANCL3	1.22945
LAS1L	0.28968
LDOC1	0.09201
LHFPL1	1.62990
LINC00632	0.28612
LONRF3	1.75614
LPAR4	1.19013
LRCH2	1.22827
LUZP4	0.66765
MAGEA1	0.61643
MAGEA10	0.46998
MAGEA11	2.49892
MAGEA12	1.02284
MAGEA3	1.23918
MAGEA4	2.95996
MAGEA6	4.19927
MAGEA8	2.76342
MAGEA9B	0.00044
MAGEB1	0.43842
MAGEB10	2.46628
MAGEB16	0.60288
MAGEB17	0.71269
MAGEB18	0.34968
MAGEB2	1.02368
MAGEB3	0.40953
MAGEB4	0.36801
MAGEB5	0.83313
MAGEB6	4.54874
MAGEC1	12.72208
MAGEC2	0.99315
MAGEC3	5.58529
MAGED1	0.68452
MAGED2	2.53380
MAGEE1	3.09823
MAGEE2	10.96255
MAGEH1	0.18277
MAGIX	3.02676
MAGT1	0.82051
MAMLD1	3.40814
MAOA	0.60339
MAOB	0.70615
MAP3K15	3.95570
MAP7D2	6.25368
MAP7D3	1.24569
MBNL3	0.30442
MBTPS2	0.58811
MCF2	2.59391
MCTS1	0.62744
MECP2	1.93651
MED12	1.62344
MED14	1.65713
MID1	1.78418
EMID1	8.94428
MID1IP1	0.49454
MID2	3.00586
MMGT1	0.34703
MORC4	1.59642
MORF4L2	0.27830
MOSPD1	3.54208
MOSPD2	2.19774
MPP1	0.64673
MSL3	0.61336
MSN	0.33190
MTCP1	0.10837
MTM1	0.59626
CKLF-CMTM1	0.86906
CMTM1	0.94568
MTMR1	0.77408
MTMR8	1.75016
MTRNR2L10	0.64647
MUM1L1	0.70641
MXRA5	11.30556
NAP1L2	2.93283
NAP1L3	1.34140
NAP1L6	0.40636
NDP	0.71138
NDUFA1	0.10678
NDUFB11	0.18462
NGFRAP1	0.01847
NHS	5.34764
NHSL2	5.79180
NKAP	5.04360
NKRF	0.62232
NLGN3	1.04312
NLGN4X	3.70106
NONO	0.58532
PKNOX1	1.06945
NOX1	3.29903
ENOX1	3.98952
NR0B1	0.81890
SNRK	1.37235
NRK	9.15478
NSDHL	0.69988
NUDT10	0.30347
NUDT11	0.02807
NXF3	0.33238
NXF5	2.25521
NXT2	0.05093
NYX	1.84047
OCRL	1.51918
OFD1	1.92266
OGT	0.23824
EOGT	4.22680
OPHN1	2.87649
OPN1LW	3.97896
OPN1MW	0.20739
OPN1MW2	0.17536
OR13H1	1.72994
OTC	6.27812
OTUD5	0.53404
OTUD6A	0.41393
P2RY10	0.27475
P2RY4	5.21578
P2RY8	5.95055
PABPC5	0.86445
PAGE1	1.88994
PAGE2	0.05587
PAGE2B	0.73525
PAGE3	0.96810
PAGE4	0.03344
PAGE5	0.93300
PAK3	0.23308
PASD1	3.67666
PBDC1	0.24999
PCDH11X	3.26311
PCDH19	2.80219
PCSK1N	0.08317
PCYT1B	0.35666
PDHA1	4.11483
PDK3	1.61860
PDZD11	0.13440
PDZD4	1.47872
PFKFB1	1.33566
PGAM4	4.14472
PGK1	0.96311
PGRMC1	0.55821
PHEX	1.07656
PHF6	0.27807
PHF8	0.99147
PHKA1	5.81038
PHKA2	3.03346
PIGA	1.87487
PIH1D3	0.23285
PIM2	0.15069
SPIN4	0.07888
PIN4	1.48904
PIR	3.43891
PJA1	4.30208
PLAC1	0.25516
PLCXD1	2.71129
PLP1	0.19831
RPLP1	0.25752
APLP1	2.41099
PLP2	0.90474
RPLP2	1.37083
APLP2	7.19150
PLS3	0.60492
PLXNA3	8.37090
PLXNB3	5.35754
PNCK	0.97560
PNMA3	0.56377
PNMA5	0.60722
PNPLA4	0.82749
POF1B	3.26029
POLA1	1.59962
PORCN	0.76189
POU3F4	0.41295
PPEF1	1.81341
PPP1R3F	3.85421
PPP2R3B	8.65627
PQBP1	0.61463
PRAF2	0.48982
PRDX4	1.75914
PRKX	0.43572
PRPS2	0.10951
PRRG1	0.61924
PRRG3	1.67342
PSMD10	0.98478
PTCHD1	0.63515
RAB33A	1.65908
RAB40A	6.52735
RAB40AL	7.49246
RAB41	0.28850
RAB9A	0.02919
RAB9B	0.26601
RAI2	0.96255
ORAI2	0.96755
RAP2C	0.03500
RBBP7	6.26776
RBM10	1.84454
RBM3	0.36825
RBM41	0.93851
RBMX	0.59829
RBMX2	0.67128
RBMXL3	5.53655
RENBP	4.73033
REPS2	1.09224
RGAG1	3.58698
RGAG4	4.63891
RGN	1.73887
SRGN	1.80196
RHOXF1	0.19808
RHOXF2	1.12837
RHOXF2B	0.05970
RIBC1	0.23262
RIPPLY1	0.55922
RLIM	0.58252
RNF113A	0.81407
RNF128	0.91076
CSRP2	0.60059
RASGRP2	1.61055
RP2	1.66983
HDGFRP2	2.60078
NRP2	2.83534
ESRP2	3.62417
PARP2	4.27883
DRP2	4.66808
SFRP2	6.22845
PGLYRP2	7.11541
NLRP2	7.58061
LRP2	8.29976
FARP2	8.70050
XIRP2	22.95689
RPA4	4.38357
RPGR	8.90096
RPL10	0.07345
MRPL10	6.93629
RPL36A	0.25870
MRPL39	2.11384
RPS6KA3	1.35290
RPS6KA6	4.40985
RRAGB	0.46009
CERS1	0.31086
MCRS1	0.68166
RS1	2.35449
DHRS1	5.36441
IRS1	5.45781
RRS1	6.01838
FRRS1	6.70460
S100G	3.53857
SAGE1	2.50683
SASH3	0.92063
SAT1	0.28138
PSAT1	1.03606
SATL1	1.64966
SCML1	0.01579
SCML2	0.57238
SEPT6	0.61387
SERPINA7	7.36351
SH2D1A	0.04688
SH3BGRL	0.09292
SH3KBP1	1.40629
SHOX	0.46157
SHROOM2	3.86122
SHROOM4	5.29321
SLC10A3	1.52927
SLC16A2	1.57626
SLC25A14	0.34511
SLC25A43	0.39321
SLC25A5	0.16682
SLC25A53	0.83179
SLC25A6	4.01015
SLC35A2	0.93520
SLC38A5	3.93203
SLC6A14	1.02846
SLC6A8	0.57643
SLC7A3	7.10970
SLC9A6	0.41173
SLC9A7	1.17265
SLITRK2	4.80823
SLITRK4	1.01525
SMARCA1	2.29759
SMC1A	0.14702
SMIM10	0.06443
SMIM9	1.53243
SMPX	0.09837
SMS	0.33022
SNX12	0.03366
SOWAHD	0.66688
SOX3	2.56977
SPANXC	0.93823
SPANXD	1.84964
SPANXN1	0.07255
SPANXN2	2.95382
SPANXN3	1.48747
SPANXN4	3.27867
SPANXN5	0.00244
SPIN2A	1.83640
SPIN2B	0.01067
SPIN3	0.46750
SPIN4	0.07888
SPRY3	1.30046
SRPK3	1.30706
SRPX	7.93014
SRPX2	1.40844
SSR4	0.25046
SSX1	1.99482
SSX3	0.41100
SSX4B	0.66895
SSX5	0.53153
SSX7	4.20394
STAG2	0.31922
STARD8	3.78837
STS	1.18167
SUV39H1	0.24270
SYAP1	0.37671
SYN1	2.80346
NADSYN1	6.92425
SYP	0.26908
SYTL4	1.82286
SYTL5	4.30328
TAB3	10.70693
BTAF1	2.24068
TAF1	4.13320
TAF7L	6.02282
TAF9B	0.64081
TAZ	0.45960
TBC1D25	1.10539
TBC1D8B	1.76713
TBL1X	1.02031
TBX22	3.08782
TCEAL1	0.69102
TCEAL2	1.08910
TCEAL3	0.28067
TCEAL4	1.85746
TCEAL5	5.36747
TCEAL6	2.46706
TCEAL7	0.17930
TCEAL8	0.12274
TCEANC	1.96225
TENM1	5.12522
TEX11	5.58368
TEX13A	0.58455
TEX13B	4.04834
TFDP3	3.24760
TFE3	1.25339
TGIF2LX	3.99675
THOC2	1.12981
TIMM17B	0.44309
TIMP1	6.28567
TKTL1	1.68977
TLR7	0.95176
TLR8	0.54913
TMEM164	0.44580
TMEM185A	0.12114
TMEM187	6.10445
TMEM255A	1.70159
TMEM257	3.11822
TMEM27	0.42787
TMEM31	0.64209
TMEM35	0.08023
TMEM47	0.09768
TMLHE	0.60569
TMSB15A	0.00800
TNMD	1.05046
TRAPPC2	0.06713
TREX2	1.28880
TRMT2B	1.34503
TRO	3.06707
TRPC5	1.17759
TSC22D3	0.25281
TSPAN6	4.18527
TSPAN7	0.01802
TSPYL2	2.08252
TSR2	0.32807
NTSR2	2.98021
TXLNG	2.04289
UBA1	6.33409
UBE2NL	1.83470
UBL4A	6.49751
UBQLN2	0.34775
UPF3B	1.16393
UPRT	0.12479
DUSP11	0.68920
USP11	0.86797
DUSP26	1.03945
USP26	3.99731
USP27X	0.23683
USP51	0.88428
USP9X	1.07855
UTP14A	4.76611
UXT	0.07481
VAMP7	1.17497
VBP1	0.14059
VCX	0.35763
VCX2	5.79770
VCX3A	4.19576
VCX3B	10.54787
VGLL1	1.76613
VMA21	4.32186
VSIG1	0.96893
VSIG4	2.50406
WAS	1.13817
WBP5	0.36704
WDR13	0.30062
WDR44	1.75847
WDR45	1.44298
WNK3	2.51435
WWC3	2.93458
XAGE3	0.08974
XAGE5	0.15115
XG	0.37962
XIAP	6.43257
XK	0.11908
PDXK	1.50408
TXK	3.32044
PXK	9.71802
XKRX	1.72498
XPNPEP2	4.84534
YIPF6	0.22981
YY2	0.14036
ZBED1	1.52832
ZBTB33	2.42223
ZC3H12B	8.15363
ZC4H2	0.21928
ZCCHC12	0.93906
ZCCHC13	2.83193
ZCCHC16	1.67865
ZCCHC18	3.49763
ZCCHC5	2.28029
ZDHHC15	0.80899
ZDHHC9	0.11224
ZFP92	1.17323
ZFX	1.21503
ZIC3	1.53401
ZMAT1	1.02705
ZMYM3	1.41428
ZNF157	0.79510
ZNF182	1.46906
ZNF185	6.97042
ZNF275	0.42689
ZNF280C	0.51250
ZNF41	3.56574
ZNF449	0.24341
ZNF630	2.75378
ZNF645	4.44184
ZNF674	1.44669
ZNF711	0.72264
ZNF75D	0.45738
ZNF81	3.72613
ZRSR2	2.92237
ZXDA	7.29627
ZXDB	2.12723
