Gene	score
GDPD2	0.09391
GEMIN8	0.09376
GJB1	0.43956
ADPGK	0.14691
AGK	0.12429
GK	0.44410
NAGK	0.13359
PIGK	0.11980
POGK	0.10748
DAGLA	0.11988
FIGLA	0.09641
GLA	0.74184
GLOD5	0.11026
GLRA2	0.31094
GLRA4	0.09986
GLUD2	0.62023
GNL3L	0.10778
GPC3	0.36196
GPC4	0.15966
GPKOW	0.08716
GPM6B	0.13588
GPR101	0.09927
GPR119	0.11062
GPR143	0.22673
GPR173	0.11809
GPR34	0.10446
GPR50	0.10006
GPRASP2	0.08503
GRIA3	0.17596
GRIPAP1	0.08356
GRPR	0.21795
GSPT2	0.11637
GUCY2F	0.16895
H2AFB3	0.16270
H2BFWT	0.09294
HCCS	0.19434
HCFC1	0.15758
HDAC6	0.18896
HDAC8	0.12564
HDHD1	0.15289
HDX	0.10362
HEPH	0.37532
HMGB3	0.14229
HMGN5	0.08754
HNRNPH2	0.22085
HPRT1	0.94051
HS6ST2	0.10349
HSD17B10	0.22329
HSFX1	0.07076
HSFX2	0.07076
HTATSF1	0.13421
HTR2C	0.22382
HUWE1	0.35105
HYPM	0.06915
IDH3G	0.28307
IDS	0.25353
IGBP1	0.10700
IGSF1	0.10920
IKBKG	0.62771
IL13RA2	0.23192
IL1RAPL1	0.22741
IL1RAPL2	0.12272
IL2RG	0.55422
IL9R	0.15071
SERPINE1	0.86891
SERPINE2	0.63944
INGX	0.12971
IQSEC2	0.09221
IRAK1	0.59389
IRS4	0.20858
ITGB1BP2	0.11665
ITM2A	0.12378
JADE3	0.10105
KCND1	0.13841
KDM5C	0.19342
KDM6A	0.16837
KIAA2022	0.09638
KIF4A	0.11857
KLF8	0.06771
KLHL13	0.09085
KLHL15	0.11136
KLHL4	0.08583
KRBOX4	0.10926
LAGE3	0.08342
LAMP2	0.61796
LANCL3	0.09447
LAS1L	0.08070
LDOC1	0.10974
LHFPL1	0.10849
LONRF3	0.10062
LPAR4	0.11530
LRCH2	0.09365
LUZP4	0.04632
MAGEA1	0.14502
MAGEA10	0.08346
MAGEA11	0.08078
MAGEA12	0.06765
MAGEA3	0.16113
MAGEA4	0.10552
MAGEA9	0.07295
MAGEB1	0.08487
MAGEB18	0.08144
MAGEB2	0.08711
MAGEB3	0.07810
MAGEB4	0.08448
MAGEC2	0.10467
MAGED1	0.13624
MAGED2	0.12075
MAGED4	0.10288
MAGED4B	0.10288
MAGEE1	0.10822
MAGEH1	0.14229
MAGT1	0.07889
MAMLD1	0.14494
MAOB	0.48057
MAP3K15	0.09392
MAP7D3	0.07326
MBNL3	0.10090
MCF2	0.41436
MCTS1	0.19788
MECP2	0.69428
MED12	0.30592
MED14	0.15290
EMID1	0.07814
MID1	0.28993
MID1IP1	0.11809
MID2	0.14063
MMGT1	0.10896
MORC4	0.08297
MORF4L2	0.09554
MOSPD1	0.10531
MPP1	0.10499
MSL3	0.09764
MSN	0.45280
CMTM1	0.05828
MTM1	0.10908
MTMR1	0.17628
MTMR8	0.08493
MXRA5	0.09488
NAA10	0.28104
NAP1L2	0.09955
NAP1L3	0.07894
NDP	0.47945
NDUFA1	1.02E-3
NDUFB11	0.33510
NHS	0.14772
NKAP	0.10231
NKRF	0.20971
NLGN3	0.21177
NLGN4X	0.22678
NONO	0.54626
ENOX1	0.11392
NOX1	0.28224
PKNOX1	0.14084
NR0B1	0.61027
NRK	0.31202
SNRK	0.13098
NSDHL	0.18938
NUDT10	0.11150
NUDT11	0.11809
NUP62CL	0.06465
NXF2	0.09389
NXF3	0.08542
NXF4	0.08341
NXT2	0.02889
NYX	0.23824
OCRL	0.09724
OFD1	0.17799
EOGT	0.09534
OGT	0.32553
OPHN1	0.19705
OPN1MW	0.14545
OPN1MW2	0.14493
OTC	0.85665
OTUD5	0.10475
OTUD6A	0.09337
P2RY10	0.11285
P2RY4	0.16824
P2RY8	0.11931
PABPC1L2A	0.14229
PABPC1L2B	0.14229
PABPC5	0.13707
PAGE1	0.09600
PAGE2	0.03208
PAGE4	0.09777
PASD1	0.06535
PBDC1	0.07658
PCDH11X	0.08512
PCDH19	0.11070
PCSK1N	0.11176
PCYT1B	0.13353
PDHA1	0.55950
PDK3	0.12403
PDZD11	0.10897
PDZD4	0.11257
PFKFB1	0.23453
PGAM4	0.15572
PGK1	0.97337
PGRMC1	0.22862
PHEX	0.61623
PHF6	0.16306
PHF8	0.10114
PHKA1	0.19048
PHKA2	0.39190
PIGA	0.22579
PIM2	0.25793
PIN4	0.22076
PIR	0.28917
PJA1	0.13121
PLAC1	0.12344
APLP1	0.61664
PLP1	0.36844
RPLP1	0.21177
APLP2	0.20036
PLP2	0.13160
RPLP2	0.28104
PLS3	0.64888
PLXNA3	0.14072
PLXNB3	0.12743
PNCK	0.11128
PNMA3	0.11749
PNPLA4	0.10702
POF1B	0.41445
POLA1	0.30271
PORCN	0.29038
POU3F4	0.10989
PPEF1	0.09748
PQBP1	0.15801
PRAF2	0.10424
PRDX4	0.30181
PRICKLE3	0.11213
PRKX	0.10088
PRPS1	0.29199
PRPS2	0.22474
PRRG1	0.12113
PRRG3	0.10508
PSMD10	0.12517
PTCHD1	0.11439
RAB33A	0.12281
RAB39B	0.11262
RAB40A	0.10148
RAB41	0.08459
RAB9A	0.10970
RAB9B	0.10468
ORAI2	0.11154
RAI2	0.09964
RAP2C	0.13588
RBBP7	0.31407
RBM10	0.15702
RBM41	0.09592
RBMX2	0.39625
RENBP	0.18638
REPS2	0.11476
NRGN	0.19444
RGN	0.34383
SRGN	0.21586
RHOXF1	0.04116
RHOXF2	0.05186
RIBC1	0.08605
RLIM	0.12708
RNF113A	0.09276
RNF128	0.16080
CSRP2	0.10984
DRP2	0.11419
FARP2	0.19172
LRP2	0.54233
NLRP2	0.12808
NRP2	0.15109
PARP2	0.12032
PGLYRP2	0.14582
RASGRP2	0.15177
RP2	0.28800
SFRP2	0.35008
XIRP2	0.08641
MRPL10	0.08326
RPL10	0.38095
RPL36A	0.22085
MRPL39	0.11367
RPL39	0.12971
RPS6KA3	0.64633
RPS6KA6	0.16479
RRAGB	0.12684
DHRS1	0.09683
FRRS1	0.12535
IRS1	0.81126
MCRS1	0.14229
RRS1	0.20417
RS1	0.23021
S100G	0.18247
SASH3	0.26327
PSAT1	0.48406
SAT1	0.09447
SCML1	0.06729
SCML2	0.09503
SEPT6	0.14570
SERPINA7	0.13818
SH2D1A	0.45280
SH3BGRL	0.14229
SH3KBP1	0.14174
SHROOM2	0.13889
SHROOM4	0.08265
SLC10A3	0.13229
SLC16A2	0.21470
SLC25A14	0.12887
SLC25A5	0.49922
SLC25A6	0.43956
SLC35A2	0.42220
SLC38A5	0.24156
SLC6A14	0.11942
SLC6A8	0.09301
SLC7A3	0.15144
SLC9A6	0.11224
SLC9A7	0.14089
SLITRK2	0.11691
SLITRK4	0.11227
SMARCA1	0.11262
SMC1A	0.25081
SMPX	0.11809
SMS	0.10879
SNX12	0.11401
SOX3	0.39904
SPACA5	0.10325
SPACA5B	0.10325
SPANXN2	0.06617
SPANXN4	0.07170
SPIN2A	0.12085
SPIN2B	0.11878
SPIN3	0.13425
SPRY3	0.11480
SRPK3	0.11172
SRPX	0.13572
SRPX2	0.13849
SSR4	0.44641
SSX3	0.08088
SSX4	0.02813
SSX4B	0.02813
SSX5	0.07680
STARD8	0.12374
STS	0.85641
SUV39H1	0.22085
SYAP1	0.10844
NADSYN1	0.10139
SYN1	0.62820
SYP	0.65186
SYTL4	0.12917
SYTL5	0.10729
TAB3	0.11678
BTAF1	0.14507
TAF1	0.18046
TAF7L	0.07218
TAF9B	0.12006
TAZ	0.19268
TBC1D25	0.10799
TBL1X	0.36829
TBX22	0.12779
TCEAL1	0.11345
TCEAL2	0.06564
TCEAL3	0.10162
TCEAL4	0.07800
TCEAL6	0.07840
TCEAL8	0.07114
TDGF1P3	0.56496
TENM1	0.10783
TEX11	0.08132
TEX13A	0.08014
TEX28	0.07825
TFDP3	0.05691
TFE3	0.24170
TGIF2LX	0.06016
THOC2	0.11809
TIMM17B	0.12090
TIMM8A	0.24974
TIMP1	0.89776
TKTL1	0.26069
TLR7	0.28709
TLR8	0.19285
TMEM185A	0.11262
TMEM187	0.10161
TMEM27	0.10882
TMEM47	0.11262
TMLHE	0.11276
TMSB4X	0.03343
TNMD	0.20997
TRAPPC2	0.35467
TRMT2B	0.11797
TRO	0.13979
TRPC5	0.17421
TSC22D3	0.21562
TSPAN6	0.06917
TSPAN7	0.17096
TSPYL2	0.27669
NTSR2	0.11051
TSR2	0.10937
TTC3P1	0.08857
TXLNG	0.11787
UBA1	0.36073
UBE2A	0.12971
UBE2NL	0.07070
UBL4A	0.26919
UBQLN2	0.10627
UPF3B	0.11959
UPRT	0.23255
DUSP11	0.09680
USP11	0.11756
DUSP26	0.12218
USP26	0.07415
USP27X	0.11023
USP51	0.08767
USP9X	0.10304
UTP14A	0.09654
UXT	0.30319
VAMP7	0.09341
VBP1	0.12863
VCX2	0.09403
VGLL1	0.10118
VSIG1	0.07497
VSIG4	0.09654
WAS	0.55945
WBP5	0.09614
WDR13	0.09669
WDR44	0.10042
WDR45	0.11262
WNK3	0.12309
WWC3	0.08261
XAGE2	0.04239
XG	0.65872
PDXK	0.17323
PXK	0.09839
TXK	0.09804
XK	0.15778
XKRX	0.10019
XPNPEP2	0.13793
YIPF6	0.06538
YY2	0.08955
ZBED1	0.16251
ZBTB33	0.12959
ZC3H12B	0.09647
ZC4H2	0.11262
ZCCHC12	0.09803
ZCCHC16	0.08043
ZDHHC15	0.09315
ZDHHC9	0.09584
ZFX	0.23781
ZIC3	0.16755
ZMYM3	0.14229
ZNF157	0.10941
ZNF41	0.12914
ZNF449	0.10540
ZNF711	0.10473
ZNF81	0.15804
ZRSR2	0.12065
ZXDA	0.09783
ZXDB	0.09943
