gene,Length,Nonsyn_v,Syn_v,Tissuespe,Expr,Reptime,HIc,GC,ALL_tr_length,CO_tr_length,ALL_tr_count,CO_tr_count,NC_tr_count,NC_mut_rate,HI,REC,CONS,RVIS,GDI,NET
GNGT1,0.235,5,3,0,2.28127,480,-12,35.76,67095.2,67095.2,5,5,0,0.000004816,0.74854,0.17821,0.000001,0.191216164,0.11566,0.800905187
GH1,0.679,18,13,1,14.46139,380,27,56.62,1498.8,1579.75,5,4,1,0.000002197,0.10625,0.2513,-0.23606146,0.308721233,2.30513,0.957518729
GNGT2,0.22,3,3,1,8.68792,346,21,49.96,3584,3584,6,6,0,0.000002894,0.18249,0.12971,0.000001,0.501689326,2.81024,0.731196952
PARP9,2.668,43,11,0,4.10045,404,35,42.46,29253,31121.33333,7,6,1,0.000002662,0.06342,0.08152,-0.482987953,-0.394936437,4.69811,0.43826262
PARP8,2.695,15,18,0,0.76181,1215,14,35.7,118544.2174,137249.2727,23,11,12,0.000005498,0.000001,0.000001,2.079064623,-0.911109353,2.31004,0.250889428
POP1,3.15,55,28,0,6.35159,368,44,41.8,24387.5,31946.66667,4,3,1,0.000003129,0.10212,0.08921,-0.455723466,-1.232771118,7.29865,0.849576648
PARP6,2.003,12,12,0,11.2978,260,47,43.94,17151.19048,21819.375,22,8,14,0.000002232,0.19132,0.07832,2.467759208,-0.514264485,0.74868,0.006401372
PARP3,1.678,37,17,0,10.13177,370,39,59.21,3756.888889,5465.75,9,4,5,0.000001797,0.03236,0.08533,-0.338808897,0.802845857,4.57731,0.123880488
CT45A2,0.59,0,0,0,0.000001,0.000001,0.000001,42.84,8203,8203,3,3,0,0.000001,0.000001,0.000001,0.000001,0.000001,10000,0.11437136
PARP4,5.34,89,39,0,3.40065,606,39,42.88,32711.33333,91885,3,1,2,0.000003051,0.000001,0.000001,0.257906289,4.627272075,10.56301,0.399608365
POP4,0.698,14,3,0,2.23167,612,-63,49.76,6928.142857,9397.6,14,5,9,0.000005414,0.25519,0.1249,0.036484986,-0.0274281,2.25819,0.889488507
CT45A1,0.59,0,0,0,0.000001,0.000001,0.000001,39.67,9847.25,9847.25,3,3,0,0.000003043,0.000001,0.000001,0.000001,0.000001,0.00311,0.000113018
POP5,0.517,6,1,0,16.15212,311,34,48.65,1588.111111,2485,9,2,7,0.000002602,0.10882,0.14229,0.751777252,-0.163345027,1.41551,0.785878679
PARP1,3.16,40,37,0,8.05195,409,9,46.8,10916.3,21085.25,10,4,6,0.000002351,0.90777,0.66498,1.555003025,-0.968173992,10.61131,0.620999916
ACAD11,2.443,38,17,0,2.10777,598,19,37.61,67092.36364,86941,12,4,8,0.000003432,0.000001,0.000001,0.496562056,0.604424343,5.50015,0.11437136
CT45A4,0.59,0,0,0,0.000001,0.000001,0.000001,0.000001,12397.25,12397.25,4,4,0,0.000003043,0.000001,0.000001,0.000001,0.000001,10000,0.11437136
ACAD10,3.378,63,31,0,5.99161,203,33,47.12,27594.20833,44624.77778,25,9,16,0.000002355,0.0215,0.49463,-1.334948755,-0.538378753,5.99536,0.339224051
PARP2,1.832,30,6,0,4.1585,401,-7,42.36,6028.909091,11219,11,4,7,0.000004894,0.09059,0.12032,-0.26114181,-0.067881249,4.27883,0.952496026
CT45A3,0.59,0,0,0,0.000001,0.000001,0.000001,42.77,29936.16667,29936.16667,3,3,0,0.000001,0.000001,0.000001,0.000001,0.000001,10000,9.04E-05
SPATA6L,1.05,27,7,0,2.26049,673,17,41.45,53771.14286,66518.25,15,4,11,0.000001,0.000001,0.000001,-2.589897509,1.221756288,7.75583,0.11437136
POP7,0.428,4,3,0,14.83965,336,46,59.81,1175,1175,2,2,0,0.000003134,0.0887,0.14499,1.508803125,0.147123112,0.58227,0.993615749
CT45A6,0.59,0,0,0,0.000001,0.000001,0.000001,0.000001,8088,8088,3,3,0,0.000003044,0.000001,0.000001,0.000001,0.000001,0.00756,0.11437136
CT45A5,0.59,0,0,0,0.000001,0.000001,0.000001,0.000001,20172.25,20172.25,3,3,0,0.000003044,0.000001,0.000001,0.000001,0.000001,0.38132,0.000148827
BCKDK,1.298,19,9,0,12.96884,351,35,57.82,3093.888889,2970.125,10,8,2,0.000002448,0.19254,0.12253,1.755997857,-0.53631094,1.05782,0.928693364
GFAP,1.62,36,17,1,11.01543,172,28,56.17,3598.73913,4196.923077,23,13,10,0.000002354,0.61775,0.95538,0.795847837,0.622829232,4.29611,0.526632666
PCED1A,1.4,21,12,0,7.66497,396,44,57.7,3888.5,3941.6,6,5,1,0.000001,0.25747,0.10588,0.000001,0.064394823,2.80601,0.000001
PCED1B,1.304,21,10,1,2.61073,398,0,39.92,39930,39930,6,6,0,0.000001,0.09515,0.09636,0.000001,-0.53631094,0.30919,0.000001
MGRN1,1.862,31,32,0,7.29674,157,41,55.34,35120.82353,53796.66667,17,9,8,0.000002104,0.49083,0.14252,0.663493873,-1.771059652,3.80327,0.94695018
ANP32A,0.785,2,4,0,4.37749,562,32,49.39,22822.90909,41414,11,2,9,0.000002299,0.54777,0.25991,2.131808707,-0.075159878,0.16267,0.798992897
AMY2B,1.586,27,10,1,0.31276,974,-19,34.92,11714.42857,14157.66667,7,3,4,0.000006962,0.12126,0.38738,-0.869355502,0.110306132,3.78784,0.273209487
AMY2A,1.586,10,4,1,0.27205,1015,-20,33.89,5223.666667,5813.5,3,2,1,0.000007011,0.13172,0.48922,2.253828791,0.000001,6.63242,0.841775916
GHR,1.988,38,12,1,2.48127,909,-12,38.47,182567.8333,249979,7,3,4,0.000004464,0.38194,0.52767,1.174658394,0.756930627,14.00903,0.579201555
PARVG,1.056,23,11,1,2.01266,327,30,51.78,17375.83333,15727.83333,12,6,6,0.000002888,0.0908,0.14556,-0.446719992,0.330767509,2.39401,0.304674522
MTERF,1.21,21,6,1,5.12495,617,-7,0.000001,0.000001,0.000001,0.000001,0.000001,0,0.000003089,0.07799,0.07345,-0.418775783,0.396906589,1.84488,0.718676866
GIP,0.487,9,5,0,7.93101,174,29,52.52,10043,10043,1,1,0,0.000003035,0.09377,0.28525,0.000001,0.527368849,4.26695,0.3726604
AIFM3,1.936,43,16,0,5.77297,192,58,59.24,8757.736842,13205.5,20,8,12,0.00000416,0.14518,0.13207,0.312338132,-0.194700583,4.1812,0.1565384
AIFM2,1.162,29,14,1,4.84729,425,25,50.25,16706,23270.5,3,2,1,0.000001843,0.18175,0.13527,-0.520576228,-0.398573136,6.34173,0.447118869
ANP32B,0.791,4,7,0,4.66644,269,42,43.52,19937.33333,32583,3,1,2,0.000002211,0.82716,0.10874,0.718886949,-0.163345027,1.00097,0.889787952
AIFM1,2.071,0,1,0,0.000001,0.000001,0.000001,42.98,26249.57143,27168.66667,10,6,4,0.000002721,0.32532,0.37971,0.846353376,-0.26993514,1.10167,0.773039989
ANP32D,0.401,7,4,0,9.04892,390,11,44.58,396,396,1,1,0,0.000002498,0.000001,0.000001,0.000001,0.703746784,0.97199,0.158822672
ANP32E,0.842,4,5,0,12.07965,197,39,42.62,13886.27273,13886.27273,10,10,0,0.000003628,0.77993,0.13603,2.018922553,0.169169616,11.83775,0.991010129
SLC3A2,2.054,31,16,0,23.42595,181,71,48.27,9953.833333,15606.07692,24,13,11,0.000002801,0.27357,0.41835,1.544695207,-0.310388054,2.16179,0.997204713
GIF,1.299,28,8,1,3.6656,494,8,40.82,9084.6,16229.5,6,2,4,0.000003872,0.08359,0.32009,-0.282464474,0.687150476,2.34572,0.363942579
RHOXF2B,0.887,0,0,0,0.000001,0.000001,0.000001,45.13,5860,5860,1,1,0,0.000002868,0.000001,0.000001,2.79599924,0.000001,0.0597,5.13E-11
SLC3A1,2.108,57,24,1,4.33205,522,29,41.62,30518.66667,30518.66667,9,9,0,0.000002492,0.14759,0.43231,-0.978193194,-1.589211351,5.84266,0.00419619
CCT6A,1.666,10,20,0,7.38325,642,4,41.33,4915.7,12097.66667,10,3,7,0.000007015,0.24693,0.43796,1.565834183,-0.291981272,3.94523,0.782310122
BRWD3,5.614,0,1,0,0.000001,0.000001,0.000001,36.15,50763.4,138835,5,1,4,0.000004797,0.000001,0.000001,4.682947856,-0.488577884,1.51886,0.693554237
BRWD1,7.426,82,54,0,3.83347,235,30,38.65,47504.84615,76749.66667,16,6,10,0.000002492,0.64569,0.10719,1.975120897,-0.821412236,14.54368,0.701699013
FANCD2,4.706,63,24,0,8.85389,170,41,42.77,27842.91667,62525.2,13,5,8,0.000002249,0.000001,0.000001,1.238015175,-0.920453886,5.29622,0.928066383
AMY1C,1.586,0,0,1,0.24508,1029,-14,34.04,8285,8285,1,1,0,0.000007143,0.17026,0.37631,3.500139996,0.000001,0.20902,0.906481079
AMY1B,1.586,0,0,1,0.000001,0.000001,0.000001,34.59,4987.6,5550.25,5,4,1,0.000001,0.17574,0.40177,3.500139996,0.000001,0.59269,0.253729575
PARVB,1.387,23,20,1,1.58082,393,34,50.79,70896.66667,130027.75,9,4,5,0.000002836,0.09248,0.20562,0.403091032,0.400544646,3.24292,0.666453932
AMY1A,3.172,13,3,0,0.000001,0.000001,0.000001,36.18,3525.6,4361.666667,5,3,2,0.000001,0.15126,0.48083,3.500139996,0.000001,0.20622,0.754924668
PARVA,1.304,10,6,0,4.47343,318,-4,43.51,96123.5,126189.6,9,5,4,0.00000226,0.24069,0.17061,1.614681899,-0.405853867,0.99845,0.63995939
SCML4,1.28,14,17,0,2.94918,581,36,43.76,64773.54545,65955.6,11,5,6,0.000002129,0.000001,0.000001,1.052004355,-0.047654689,6.70668,0.64907866
PTOV1,1.311,25,23,1,16.73246,205,37,61.87,5785.227273,7157.4,22,10,12,0.000002742,0.3692,0.11188,0.257458166,-0.821100135,5.66639,0.904091785
SPATA45,0.307,8,1,0,3.26908,445,13,43.95,17509,0.000001,1,1,0,0.000001,0.000001,0.000001,0.000001,0.169169616,10000,0.000001
ECEL1,2.413,43,23,1,2.71362,191,32,64.78,6282.5,5711.666667,4,3,1,0.000002552,0.12989,0.20455,1.354743774,0.003714825,4.33992,0.361620764
GK2,1.667,26,11,1,1.12173,875,0,44.08,1865,1865,1,1,0,0.000003231,0.000001,0.000001,-0.371634906,-0.088107893,1.91575,0.836000877
SCML2,2.173,0,1,1,0.000001,0.000001,0.000001,39.57,43392.5,57243,4,3,1,0.00000299,0.12839,0.09503,1.875027221,-0.494039303,0.57238,0.487248804
SCML1,1.028,0,0,0,0.000001,0.000001,0.000001,38.89,15008.28571,16308.2,7,5,2,0.000002723,0.02653,0.06729,2.192611694,-0.075159878,0.01579,0.002765439
UGDH,1.54,14,8,0,6.5822,165,48,41.86,19638.41667,20477.11111,12,9,3,0.000002301,0.91005,0.10964,1.867130783,-0.137658575,1.92058,0.976418301
POT1,1.98,13,10,0,0.34691,524,-16,34.37,38182.88889,44258.625,19,8,11,0.00000566,0.16916,0.1616,2.222682729,0.040529541,1.94692,0.308561074
FAN1,3.144,56,27,0,2.80093,591,19,42.55,14792,13706,8,5,3,0.000001,0.10351,0.08667,-0.260436786,0.277371677,3.90248,0.11437136
CCT6B,1.663,30,10,1,2.68361,579,-14,39.87,32193.6,34795.5,5,4,1,0.000003145,0.11522,0.11925,0.237587584,0.198490371,15.27896,0.710138404
PARS2,1.433,22,12,0,5.78299,343,23,49.77,7617,7617,1,1,0,0.000001866,0.14829,0.14856,0.312997183,-0.268115223,6.28001,0.990138059
DHCR7,1.463,35,29,1,5.07631,626,51,51.71,7496.333333,7941.545455,12,11,1,0.000004422,0.10133,0.32155,0.192791441,-0.861560326,2.35908,0.996945032
GK5,1.67,12,9,0,4.59081,395,25,38.65,30683.53846,37612.33333,13,3,10,0.000002585,0.11834,0.10568,1.419855165,-0.582225231,0.82292,0.27081399
SPATA33,0.477,13,3,0,10.90549,219,38,52.08,8634.375,8953.2,9,5,4,0.000001,0.000001,0.000001,0.000001,0.483275131,5.31506,0.000001
SPATA32,1.18,19,9,0,7.89809,207,23,53.99,7706.666667,7711,4,2,2,0.000001,0.2435,0.07105,0.000001,-0.201976964,5.09784,0.000001
ATRN,4.493,50,17,0,9.71216,421,27,40.34,162461.5,162461.5,2,2,0,0.000002196,0.27789,0.17365,2.292321679,0.117584698,11.13499,0.375565888
MANBA,2.725,47,17,0,3.79516,303,32,39.25,64049.42857,129024,7,2,5,0.000002916,0.10723,0.33098,-0.345257125,-0.615405356,6.55841,0.25154054
ATRX,7.654,1,0,0,0.000001,0.000001,0.000001,37.73,85528.64286,147621,8,4,4,0.00000265,0.000001,0.000001,3.80199243,-0.925889687,2.25148,0.978254633
GLA,1.325,0,0,0,0.000001,0.000001,0.000001,43.7,6845.857143,10123,7,1,6,0.000003091,0.09385,0.74184,0.327410498,0.03871034,3.6257,0.980756581
SPATA2L,1.285,21,13,0,10.90549,219,38,62.58,4758.333333,4758.333333,3,3,0,0.000001,0.13174,0.10973,0.131868715,0.000001,1.91264,0.901035114
QRFPR,1.326,18,7,0,2.68761,809,-2,38.64,48843.75,51556,4,2,2,0.000003646,0.04574,0.07907,1.587779256,1.618658506,12.82724,0.000827347
SPATA20,2.494,53,20,0,15.32661,200,20,57.05,3675.384615,8727.666667,26,3,23,0.000001936,0.14811,0.1554,-0.200797663,-0.589727438,14.12229,0.516567485
OR1J2,0.947,8,5,0,3.73314,646,3,49.79,942,942,1,1,0,0.000002838,0.000001,0.000001,-0.698717226,0.396906589,6.78752,0.369364257
OR1J1,0.974,17,8,0,3.73314,646,3,49.43,1016,1016,1,1,0,0.000002838,0.13053,0.08213,0.603646243,1.306318795,3.91887,0.149732503
OR1J4,0.947,20,3,0,3.73314,646,3,48.62,942,942,1,1,0,0.000002838,0.000001,0.000001,-1.916688501,-0.381986487,1.18517,0.115326416
NR2E3,1.33,30,11,1,10.39394,440,25,49.58,10790.28571,0.000001,7,0,7,0.000002328,0.64613,0.52323,-1.229631345,0.000001,10000,0.986047944
NR2E1,1.344,8,5,0,3.34933,436,35,47.81,13360,17132,4,3,1,0.000001927,0.6581,0.11906,2.939963705,-0.251530012,0.43646,0.993196213
CTNNBL1,1.772,20,16,0,7.20832,507,48,42.04,103266.25,129940.6,8,5,3,0.000002399,0.20271,0.2152,1.815306867,-0.756778259,7.44042,0.842603154
NLRC5,5.836,77,53,0,8.04832,154,53,49.44,23913.35714,48911.1,30,10,20,0.000001609,0.07927,0.08967,1.584930953,0.514279338,5.83754,0.277453512
NLRC4,3.115,25,24,0,3.94223,276,21,42.88,41096,41096,4,4,0,0.000002249,0.12366,0.32056,1.510944883,-0.595174814,1.71047,0.522559833
NUDCD3,1.116,20,4,0,15.35714,363,52,44.52,42417,111760,11,1,10,0.000002634,0.16646,0.10559,0.252087523,-0.025608647,7.70972,0.99327301
NLRC3,3.288,84,41,1,7.75547,224,39,51.01,26733.57143,0.000001,9,4,5,0.000001777,0.14525,0.11201,-0.275203097,0.000001,10000,0.000001
NUDCD2,0.494,9,7,0,2.26025,696,12,37.65,6281,9874,4,2,2,0.00000533,0.31509,0.11809,-0.053917185,-0.339715008,0.08476,0.507941756
GALR1,1.065,15,9,0,0.90366,614,-14,43.7,10416,18354,2,1,1,0.000004405,0.09235,0.18135,1.536429596,0.262810045,4.28478,0.393502153
ATG5,0.863,4,7,0,1.81529,390,32,36.83,103891.4,141185.25,6,4,2,0.000002212,0.36057,0.1705,1.779864844,0.103030231,1.6409,0.74136632
NUDCD1,1.838,22,5,0,1.34762,731,17,36.6,81662.25,90363.5,4,2,2,0.000005015,0.19623,0.08363,1.051962184,0.951720429,10.85038,0.932810021
GALR3,1.117,13,5,0,13.85064,203,66,66.13,2114,2114,1,1,0,0.000002159,0.58078,0.13785,2.017754196,0.000001,3.21815,0.259287737
ATG7,2.202,35,11,1,1.84628,425,30,43.27,69847.875,116782.4167,24,12,12,0.000002094,0.10213,0.17266,0.664362675,-0.510624372,3.94578,0.447698391
GALR2,1.174,9,4,0,16.11239,218,22,64.59,2748,2748,1,1,0,0.00000213,0.13007,0.15927,3.130207574,1.172206762,4.11884,0.215030402
SPATA25,0.694,9,4,0,7.25555,209,59,58.85,1147,1147,1,1,0,0.000001,0.000001,0.000001,0.191477903,0.994001092,3.90957,0.11437136
SPATA21,1.465,25,18,0,8.13996,191,40,50.37,29678,26669.25,5,4,1,0.000003536,0.000001,0.000001,0.120483589,1.311772884,7.39143,0.066476766
SPATA22,1.132,17,9,1,3.65088,515,14,40.62,30713.78571,30713.78571,14,14,0,0.000003022,0.12269,0.08105,0.104911803,1.0178651,4.67003,0.137687632
SPATA24,0.648,3,3,0,0.000001,0.000001,0.000001,51.17,5091.714286,5091.714286,7,7,0,0.000001,0.000001,0.000001,0.000001,0.479642105,12.27241,0.23091223
NET1,1.949,28,14,1,0.000001,0.000001,0.000001,37.02,16908.71429,27296.75,7,4,3,0.000002517,0.000001,0.000001,0.3094171,0.000001,3.26782,0.913758201
BCL10,0.717,10,5,0,3.48743,384,3,40.57,10843,10843,1,1,0,0.000002169,0.75946,0.26603,1.112924178,0.281220278,5.43059,0.895326996
OR1K1,0.956,29,8,0,4.3374,487,10,59.1,1026,1026,1,1,0,0.000002894,0.000001,0.000001,-1.832389775,-0.244249595,3.4778,0.128138716
B3GNTL1,1.146,25,21,0,3.03219,483,14,50.32,51416.45455,106698,11,2,9,0.000001,0.15779,0.10445,-0.020082373,0.113945049,9.25275,0.485232211
FADD,0.637,10,2,0,7.65202,286,34,55.01,4228,4228,1,1,0,0.0000029,0.06427,0.50068,1.386765067,0.058937498,0.19483,0.582478728
IL11RA,1.329,19,8,0,7.31413,298,51,54.2,5242.0625,6327.444444,16,9,7,0.000002145,0.45286,0.08769,1.254907966,-0.003562597,2.01667,0.00120898
SKOR1,2.682,13,11,0,3.05591,319,21,60.14,10425,10425,5,5,0,0.000001,0.08309,0.1127,3.593676351,0.000001,3.62519,0.11437136
SKOR2,3.13,0,0,0,0.000001,0.000001,0.000001,40.7,23661.5,23661.5,2,2,0,0.000001,0.000001,0.000001,0.000001,0.000001,8.49629,0.11437136
ZFP69B,1.63,26,10,0,7.01723,457,31,41.8,13599.66667,13586.66667,4,3,1,0.000001,0.000001,0.000001,0.000001,1.10969368,7.16368,0.000001
SPATA18,1.682,39,10,1,1.37116,878,9,40.28,26490.6,45220,10,2,8,0.000004214,0.18979,0.07948,-0.095471128,0.113945049,3.35012,0.037056018
SPATA19,0.534,9,0,1,2.70077,622,-14,50.39,4824,4824,2,2,0,0.000005055,0.06185,0.07931,0.000001,-0.05129383,12.54297,0.189097782
