Gene	GDI_Phred
PFDN1	0.09224
VSNL1	0.09246
DSTN	0.09269
CTD-2132N18.3	0.09314
SH3BGRL	0.09292
IKBKG	0.09337
POLR2K	0.09360
ZMAT2	0.09383
CCL2	0.09405
TAGLN3	0.09428
NAA38	0.09451
TGIF2	0.09473
ST20-MTHFS	0.09496
PPP1CB	0.09519
RAB20	0.09541
YWHAE	0.09564
PRAMEF21	0.09587
LAMTOR2	0.09609
ATP1B3	0.09632
RGS17	0.09655
USP17L18	0.09678
AC023469.1	0.09700
AL139333.1	0.09723
DEFB136	0.09746
TMEM47	0.09768
S100B	0.09791
MAGOH	0.09814
SMPX	0.09837
C1orf134	0.09859
AC106873.4	0.09882
POLR2L	0.09905
INS	0.09927
SAMD13	0.09950
MTRNR2L1	0.09973
HBA1	0.09996
RAB4B	0.10018
AL136218.1	0.10041
SOD1	0.10064
SPTSSB	0.10086
SNX3	0.10109
NPIPA2	0.10132
GSKIP	0.10155
DEFB113	0.10177
RAB2A	0.10200
HMGB3	0.10223
AC007773.3	0.10496
AC027228.1	0.10473
AC091948.1	0.10450
AC131935.1	0.10428
AC136297.1	0.10405
AC137932.1	0.10382
AL035681.1	0.10359
C20ORF135	0.10337
CWC15	0.10314
DKFZP434E1119	0.10291
MGC4771	0.10268
RP11-159D12.5	0.10246
AL031590.1	0.10519
FAM24B	0.10541
C19orf43	0.10564
C20orf187	0.10587
AC107021.1	0.10610
RPL24	0.10632
CXorf56	0.10655
NDUFA1	0.10678
AC015987.2	0.10701
ECSCR	0.10723
BBS1	0.10746
UBE2G1	0.10769
TAF13	0.10814
TIMM10	0.10792
MTCP1	0.10837
RP11-1C1.5	0.10860
NOTCH2NL	0.10883
LINC00696	0.10905
DEFB114	0.10928
PRPS2	0.10951
MZT1	0.10974
CTD-2260A17.2	0.10997
NME1	0.11019
EIF4EBP1	0.11042
AC008132.1	0.11065
KRTAP22-2	0.11088
RAB6B	0.11110
AC003102.1	0.11133
RP11-315O6.2	0.11156
SLC48A1	0.11179
AL590714.1	0.11202
ZDHHC9	0.11224
BBIP1	0.11247
AC026461.1	0.11270
GOLGA8R	0.11293
ZNF713	0.11315
RP11-585F1.10	0.11338
UBALD2	0.11361
TMEM158	0.11384
TBC1D3G	0.11407
FAM199X	0.11429
SCGB2A1	0.11452
BIRC5	0.11475
CRB3	0.11498
KCNA2	0.11521
NXT1	0.11543
GNGT1	0.11566
C6ORF50	0.11589
UBE2D1	0.11612
SNX24	0.11635
CDK1	0.11657
LRRC3B	0.11680
NKIRAS2	0.11703
CCDC71L	0.11726
CBLN4	0.11749
MAFG	0.11772
BCL2L1	0.11794
ABHD17C	0.11817
GNG7	0.11840
C1QTNF1-AS1	0.11863
CLLU1OS	0.11886
XK	0.11908
S100A10	0.11931
CHIC1	0.11954
SNRPN	0.11977
COX6B1	0.12000
PSMC1	0.12023
RAB24	0.12045
MALL	0.12068
ERAS	0.12091
TMEM185A	0.12114
PNRC2	0.12137
ARF5	0.12160
UBL3	0.12182
RPP25L	0.12205
NR2F1	0.12228
PSMA3	0.12251
TCEAL8	0.12274
SCGB3A2	0.12297
MLLT11	0.12319
COPS5	0.12342
UBE2E3	0.12365
RP11-302B13.5	0.12388
AC022819.2	0.12411
DUX4L4	0.12434
YWHAQ	0.12457
UPRT	0.12479
HIST1H3B	0.12502
AC174470.1	0.12525
RP11-834C11.12	0.12548
SCAND1	0.12571
TMEM203	0.12594
KRAS	0.12617
ATP5G1	0.12639
NAA20	0.12662
GPR4	0.12685
PKIG	0.12708
EMC6	0.12731
RP11-552F3.12	0.12754
AGO2	0.12822
CAMK2N2	0.12799
FAM203A	0.12777
CCL19	0.12845
TXNL4A	0.12868
SLURP1	0.12891
MGC10955	0.12914
LSM1	0.12937
GPX8	0.12960
CNPY2	0.13028
RPS9	0.13005
TPT1	0.12982
OXT	0.13051
DEXI	0.13074
GID8	0.13097
BST2	0.13120
ACTA2	0.13143
HPRT1	0.13211
PTEN	0.13188
TUBA4A	0.13166
RASL10A	0.13234
POLR2C	0.13257
BCL7B	0.13280
URM1	0.13303
SDHAF2	0.13326
PITHD1	0.13349
RUVBL1	0.13372
PRAMEF19	0.13394
RP11-706O15.1	0.13417
NRAS	0.13463
PDZD11	0.13440
H2AFJ	0.13509
TMEM167B	0.13486
CLPP	0.13532
INTS4L2	0.13555
PSMD14	0.13578
RPS4Y2	0.13601
CHMP5	0.13624
ZBTB14	0.13646
CEBPG	0.13669
RPL31	0.13692
SNRNP27	0.13715
GYPE	0.13738
POLR2J	0.13761
DNAJC5	0.13784
CCL21	0.13807
LY6H	0.13830
CNIH1	0.13853
GOLGA6L1	0.13876
ARPC4	0.13899
MRFAP1	0.13922
PITPNA	0.13944
RP11-529K1.3	0.13990
YWHAG	0.13967
AL049840.1	0.14013
YY2	0.14036
VBP1	0.14059
SRP9	0.14082
RAB40C	0.14105
IFITM1	0.14128
AC092964.1	0.14151
AC005549.3	0.14357
AC015660.1	0.14334
AC093157.1	0.14312
CTD-2207O23.12	0.14289
CTD-2330K9.3	0.14266
DKFZP434H0512	0.14243
RP11-162A12.2	0.14220
RP11-94B19.4	0.14197
TMEM56-RWDD3	0.14174
RIMS4	0.14380
HPCA	0.14403
CXCR3	0.14426
LEPROT	0.14449
TIAL1	0.14472
PPIA	0.14495
TSLP	0.14518
EMC8	0.14541
PLAC8	0.14564
FBXL3	0.14587
ATF7	0.14610
AC092675.3	0.14633
CLEC3B	0.14656
COPZ1	0.14679
SMC1A	0.14702
DAD1	0.14725
SPTSSA	0.14748
C1orf21	0.14771
PAFAH1B2	0.14794
RP11-181C3.1	0.14817
SPPL3	0.14840
RQCD1	0.14863
UBE2D3	0.14886
UBE2F	0.14909
SPIN1	0.14932
EIF5A	0.14955
CXorf40A	0.14978
ACER3	0.15001
C20orf24	0.15024
SNRPF	0.15047
PIM2	0.15069
C10orf32	0.15092
XAGE5	0.15115
RPL37A	0.15138
CXCL9	0.15161
SMAD2	0.15184
UBE2L3	0.15207
MSMB	0.15230
FAM183B	0.15253
PPP1CA	0.15276
SUMO3	0.15299
CXorf66	0.15322
KRTAP23-1	0.15345
RPSA	0.15368
GK	0.15391
TMEM100	0.15414
MDK	0.15437
SEPT7	0.15460
RANBP1	0.15484
RAB7A	0.15507
LALBA	0.15530
PIN1	0.15553
SMN2	0.15576
CCDC53	0.15599
AP005482.1	0.15622
FAM50A	0.15645
GRIN1	0.15668
PRELID1	0.15691
VAMP8	0.15714
HIST1H2AC	0.15737
C12orf76	0.15760
RP11-1102P16.1	0.15783
TGIF2-C20orf24	0.15806
MOB1A	0.15829
POLR2G	0.15852
HIST1H4J	0.15875
PAIP2	0.15898
ARL5B	0.15921
SEC61A1	0.15944
TMED10	0.15967
MARVELD1	0.15990
VAMP3	0.16013
HIST1H4I	0.16036
BLOC1S6	0.16059
DPF2	0.16082
MED10	0.16105
ATP1B1	0.16128
DEFB121	0.16151
DPM3	0.16174
CISD1	0.16197
HSD11B1	0.16220
RPS3A	0.16244
ANP32A	0.16267
TSPAN5	0.16290
RHEB	0.16313
RP11-831H9.11	0.16336
IRF1	0.16359
TNNI2	0.16382
MMD	0.16405
VAMP1	0.16428
RAC2	0.16451
S100A7	0.16474
NUCKS1	0.16497
ORMDL3	0.16520
LACRT	0.16543
RP11-371E8.4	0.16566
RALA	0.16589
RHOV	0.16613
NDUFC2	0.16636
PAX6	0.16659
SLC25A5	0.16682
GSK3A	0.16705
KCNJ4	0.16728
AC011530.4	0.16751
HBA2	0.16774
POLR2I	0.16797
CDK5R1	0.16820
RPL36	0.16843
LYPLA2	0.16866
RP11-521M14.2	0.16889
ARL4A	0.16959
GDI1	0.16936
NR2F2	0.16913
TIMM23	0.16982
SUPT4H1	0.17028
TIMM9	0.17005
UBE2I	0.17051
HDGFRP3	0.17074
C11orf44	0.17097
EFNA2	0.17120
DDA1	0.17190
MYCBP	0.17167
RAC1	0.17143
SMAD5	0.17213
AES	0.17236
MAT2A	0.17259
HBG1	0.17282
CDK5	0.17305
FDCSP	0.17328
TNNC1	0.17351
SPATA31A7	0.17375
GTF2H5	0.17398
PSMA5	0.17421
SYT1	0.17444
EIF4A2	0.17467
PPP1CC	0.17490
THAP1	0.17513
OPN1MW2	0.17536
AL627171.2	0.17606
MTRNR2L6	0.17583
TCEB3CL2	0.17559
TMEM107	0.17629
ILF2	0.17675
YPEL4	0.17652
ADIPOR1	0.17698
ARTN	0.17721
DRG1	0.17791
RAP2B	0.17768
SAR1A	0.17744
CHIC2	0.17814
PFDN5	0.17860
RPS27A	0.17837
CTD-2410N18.5	0.17883
SH3BGRL3	0.17906
TCEAL7	0.17930
EIF4A1	0.17953
RPL37	0.17976
TM4SF2	0.17999
RP11-544M22.13	0.18045
SELT	0.18022
DENR	0.18092
GNAQ	0.18068
AP1M1	0.18115
MAP2K1	0.18138
AGAP10	0.18161
SLPI	0.18184
HRAS	0.18207
RER1	0.18231
ADIRF	0.18254
MAGEH1	0.18277
CHMP4B	0.18300
ZNF581	0.18323
MYL2	0.18346
UBE2L6	0.18369
PCGF5	0.18393
DEFB110	0.18416
PAFAH1B1	0.18439
NDUFB11	0.18462
U2AF1	0.18485
COA5	0.18509
C5orf58	0.18532
DESI1	0.18555
HNRNPH2	0.18578
VPS29	0.18601
ANG	0.18624
CT62	0.18648
BRI3	0.18671
TWIST2	0.18694
NSG2	0.18717
CA7	0.18740
CDKN2AIPNL	0.18763
CTD-2014B16.3	0.18787
KCNF1	0.18810
AC023590.1	0.18833
RHOB	0.18856
COA3	0.18879
AMELY	0.18903
HIST1H2AJ	0.18926
ZNF121	0.18949
DYNLRB1	0.18972
PATE2	0.18995
TRA2B	0.19019
ABRACL	0.19042
HSD17B10	0.19065
ANAPC15	0.19088
PSMD11	0.19111
TOMM6	0.19135
C12orf39	0.19158
CRK	0.19181
MED20	0.19204
CRABP2	0.19227
DCTD	0.19251
LSM5	0.19274
PCBD2	0.19297
TMEM170B	0.19320
HPCAL4	0.19344
TIMM13	0.19367
SRP54	0.19390
NPM3	0.19413
AL353698.1	0.19436
TVP23B	0.19460
FADD	0.19483
PDIK1L	0.19506
CHCHD7	0.19529
WNT3	0.19553
TBL1XR1	0.19576
HSBP1L1	0.19599
SUB1	0.19622
SDHC	0.19645
SKA2	0.19669
C6orf164	0.19692
RP11-195F19.5	0.19715
FAM96A	0.19738
DCAF12L1	0.19762
CHCHD1	0.19785
RHOXF1	0.19808
PLP1	0.19831
BEX1	0.19855
AC142381.1	0.19878
HIST1H3D	0.19901
MTURN	0.19924
RP11-171N4.2	0.19948
LSM3	0.19971
SPINK14	0.19994
IQCF3	0.20017
SENP8	0.20041
GATSL2	0.20064
C7orf60	0.20087
CTF1	0.20110
EMX1	0.20134
SAP18	0.20157
DIRAS1	0.20180
PTPN20B	0.20227
SMU1	0.20203
RP11-343C2.11	0.20250
WFDC10B	0.20273
ABCE1	0.20296
COMMD6	0.20320
AC132872.2	0.20366
RP11-680G10.1	0.20343
RP11-187E13.2	0.20390
RPL11	0.20413
C16orf80	0.20436
GPM6A	0.20459
IGFL2	0.20483
POMP	0.20506
SYCP3	0.20529
HIST1H3G	0.20552
PSMC4	0.20576
PPP2CB	0.20599
AMY1A	0.20622
EIF5A2	0.20646
C12orf75	0.20669
RAB11B	0.20692
GNG11	0.20715
OPN1MW	0.20739
KRTDAP	0.20762
CXorf21	0.20785
KCNIP4	0.20809
HRH2	0.20832
FGF17	0.20855
PFDN6	0.20879
AMY1C	0.20902
BOP1	0.20925
C2orf66	0.20948
AC007421.1	0.20972
COMMD3-BMI1	0.21018
STX1B	0.20995
RPS24	0.21042
KCNK9	0.21065
DIRAS2	0.21088
C11orf58	0.21112
IL10	0.21135
SMIM21	0.21158
SEC11C	0.21182
MED11	0.21205
HIST1H4C	0.21228
SVIP	0.21251
RP11-321M21.3	0.21275
TUBB4A	0.21298
CCL23	0.21321
PRIMA1	0.21345
VKORC1	0.21368
TOMM22	0.21391
AC110615.1	0.21415
CTD-2510F5.6	0.21438
PTS	0.21461
EIF4EBP3	0.21485
RIPPLY2	0.21508
POLR1D	0.21531
SMIM7	0.21555
GMFB	0.21578
PCNA	0.21601
ATP5H	0.21625
PSMA7	0.21648
C21orf59	0.21671
AL035406.1	0.21788
AL121901.1	0.21765
AL590452.1	0.21741
C15ORF31	0.21718
POTEB	0.21695
MEAF6	0.21811
IL2	0.21835
PRKAR1A	0.21858
HIST1H3H	0.21882
C19orf70	0.21905
ZC4H2	0.21928
WDR61	0.21952
CACNG3	0.21975
LGALS7B	0.21998
KAAG1	0.22022
FAM25C	0.22045
TPM1	0.22068
FADS2	0.22092
CDKN2D	0.22115
SRP19	0.22139
AP000721.4	0.22162
RNF187	0.22185
TAF12	0.22209
RPL26	0.22232
SNAP25	0.22255
DEFB134	0.22279
UBE2M	0.22302
GOLGA7	0.22325
CNOT7	0.22349
HNRNPK	0.22372
TP53I11	0.22396
C7orf49	0.22419
ANAPC16	0.22466
FAM19A1	0.22442
HSPA8	0.22489
RTP3	0.22513
ARX	0.22536
REG1A	0.22559
BRK1	0.22583
NFYB	0.22629
TMEM208	0.22606
HAMP	0.22653
HIST2H2BE	0.22723
SF3A3	0.22700
TMEM60	0.22676
LSM6	0.22746
PTP4A1	0.22793
TAC1	0.22770
BCL2L2-PABPN1	0.22817
HINT1	0.22840
ARL15	0.22863
CDK2AP2	0.22887
CUL1	0.22910
BUD31	0.22934
PYDC1	0.22957
YIPF6	0.22981
PSMC2	0.23004
FAM127B	0.23027
MUCL1	0.23051
AD000671.6	0.23074
CDC73	0.23098
AL138815.1	0.23121
CBX3	0.23144
TYMS	0.23168
RAB8B	0.23191
TUBG1	0.23215
DNAJA1	0.23238
RIBC1	0.23262
PIH1D3	0.23285
PAK3	0.23308
SPACA4	0.23332
RP11-451M19.3	0.23355
NAP1L1	0.23379
DTD2	0.23402
TMEM30C	0.23426
ACTG2	0.23472
ATP6V1C1	0.23449
SRSF11	0.23496
RNF24	0.23519
TUBB6	0.23543
RP4-539M6.19	0.23566
RP11-432B6.3	0.23590
KRTAP13-3	0.23613
FBXO48	0.23637
RP11-352D3.2	0.23660
AC017081.1	0.23707
USP27X	0.23683
HIST3H2A	0.23730
PTPN20A	0.23754
AC083862.1	0.23777
SPINK4	0.23801
OGT	0.23824
TSN	0.23848
HIST1H2AM	0.23895
PDRG1	0.23871
PPP3CA	0.23918
NOVA2	0.23941
CYCS	0.23965
AC012360.2	0.24012
BX255923.1	0.23988
RPS6KB1	0.24035
RPS10	0.24059
SSR2	0.24082
TBP	0.24106
IL15	0.24129
MEF2C	0.24153
HIST2H3D	0.24176
ARPC5	0.24200
CCL20	0.24223
EDNRA	0.24247
SUV39H1	0.24270
REXO1L1P	0.24294
C20orf62	0.24317
ZNF449	0.24341
HIST1H3I	0.24364
CXorf27	0.24388
SOX14	0.24411
PRKACA	0.24435
TNP1	0.24458
NPIPA8	0.24481
SPRR2E	0.24505
TMEM184C	0.24528
FUNDC2	0.24552
AC010336.1	0.24575
AC003101.1	0.24599
RPS10-NUDT3	0.24622
KCNG3	0.24646
SRC	0.24669
CDK2AP1	0.24693
CDK8	0.24716
QKI	0.24740
RP11-598P20.5	0.24764
MAX	0.24787
HIST1H3C	0.24811
AL353354.2	0.24834
TBC1D3F	0.24858
TRMT112	0.24881
HIST1H4E	0.24905
MROH7-TTC4	0.24928
RAB3A	0.24952
RPS5	0.24975
PBDC1	0.24999
CPLX2	0.25022
SSR4	0.25046
RABL5	0.25069
AL079342.1	0.25093
SCGB2B2	0.25116
ACTA1	0.25140
S100A12	0.25163
PYDC2	0.25187
DPPA5	0.25210
COQ10B	0.25234
C19orf18	0.25257
TSC22D3	0.25281
PTBP2	0.25305
KLHL15	0.25328
PAFAH1B3	0.25352
NDUFA4	0.25375
HIST1H4H	0.25399
RP11-47I22.3	0.25422
AKT3	0.25446
CLTB	0.25469
FEV	0.25493
PLAC1	0.25516
TRIAP1	0.25540
TSPAN31	0.25564
PMCH	0.25587
KCNMB4	0.25611
HNRNPC	0.25634
BCL2L11	0.25658
RAC3	0.25681
CLDN10	0.25705
FAM49B	0.25776
RPLP1	0.25752
UBLCP1	0.25728
RARRES3	0.25799
GLYATL1	0.25823
LDOC1L	0.25846
RPL36A	0.25870
CLIC4	0.25893
WFDC9	0.25917
PRNT	0.25941
KCNG1	0.25964
KLHDC3	0.25988
AL033381.1	0.26011
HIST1H4A	0.26035
AP001652.1	0.26058
PSMA4	0.26082
S100A4	0.26106
IL4	0.26129
ZIC1	0.26153
CCDC103	0.26176
PRM2	0.26200
KCMF1	0.26223
MANF	0.26247
TXN	0.26271
HIST1H2AD	0.26294
DCUN1D1	0.26318
GLRX	0.26341
CXCL14	0.26365
ERI3	0.26389
FGF4	0.26412
SIX1	0.26436
RP11-204N11.1	0.26459
TMED2	0.26483
AC131097.4	0.26507
HIST1H2BF	0.26530
PYCARD	0.26554
BUB3	0.26577
RAB9B	0.26601
DNAL4	0.26648
RHEBL1	0.26625
SKP2	0.26672
CCL7	0.26695
TTC9B	0.26719
SNCB	0.26743
IL2RG	0.26766
COX7B2	0.26790
PSMC5	0.26814
FAM3C	0.26837
RPS6	0.26861
ATPIF1	0.26884
COPRS	0.26932
SYP	0.26908
USF1	0.26955
TOMM34	0.26979
HNRNPA2B1	0.27003
AL645730.2	0.27026
PA2G4	0.27050
N4BP2L1	0.27073
AC007952.5	0.27097
C6orf100	0.27121
TRNP1	0.27144
AP001024.1	0.27168
HSBP1	0.27192
DPH3	0.27215
CALCB	0.27239
AC079354.2	0.27263
RFK	0.27286
MAPK1	0.27310
IL23A	0.27334
SPDYE3	0.27357
CENPA	0.27381
HLF	0.27404
C1orf226	0.27428
CLDN11	0.27452
P2RY10	0.27475
ZNF32	0.27499
AP2B1	0.27523
LMO4	0.27546
C8orf4	0.27570
CEBPZ-AS1	0.27594
ATOX1	0.27617
CEBPB	0.27641
RP11-723G8.2	0.27665
CD9	0.27688
AP000688.1	0.27736
RP11-944L7.5	0.27712
MOBP	0.27759
AC011308.1	0.27783
PHF6	0.27807
MORF4L2	0.27830
MTRNR2L7	0.27854
FAM195B	0.27878
MEF2BNB-MEF2B	0.27901
AC135178.1	0.27925
FGF18	0.27949
KCNJ6	0.27972
